Consultant;Main_New_Gloss;D_Start_HS;N-D_Start_HS;D_End_HS;N-D_End_HS;Passive_Arm;Start;End;Session_Scene
Brady;LOSE-WEIGHT;crvd-L;crvd-L;crvd-L;crvd-L;N;2933;2972;ASL_2011_06_08_Brady34
Liz;BIRD;L;;flat-G;;N;258;293;ASL_2008_01_1143
Liz;BIRD;G/Q;;baby-O;;N;360;405;ASL_2010_08_10_Liz_additional_lexicon_signs26
Tyler;BIRD;L;;flat-G;;N;2411;2450;ASL_2008_05_12a27
Naomi;BIRD;L;;flat-G;;N;2206;2234;ASL_2008_08_0428
Brady;BIRD;L;;flat-G;;N;6851;6875;ASL_2011_06_08_Brady21
Brady;BIRD;L;;baby-O;;N;6370;6395;ASL_2011_06_08_Brady27
Lana;BIRD;L;;flat-G;;N;761;795;ASL_2006_10_104
Dana;BIRD;L;;flat-G;;N;630;691;ASL_2007_05_248
Liz;DUCK;U-L;;flat-O/2;;N;912;945;ASL_2008_01_1826
Brady;DUCK;U-L;;flat-O/2;;N;360;388;ASL_2011_06_14_Brady9
Liz;EAGLE;X;;X;;N;455;490;ASL_2008_01_1827
Tyler;EAGLE;X;;X;;N;241;275;ASL_2008_05_29a7
Naomi;EAGLE;L-X;;L-X;;N;170;206;ASL_2008_08_0627
Brady;EAGLE;X;;X;;N;3994;4025;ASL_2011_06_14_Brady9
Liz;BIRTHDAY;25;;25;;N;1355;1390;ASL_2008_01_1143
Tyler;BIRTHDAY;25;;25;;N;2650;2690;ASL_2008_05_12a27
Naomi;BIRTHDAY;25;;25;;N;3065;3091;ASL_2008_08_0428
Brady;BIRTHDAY;25;;25;;N;7194;7220;ASL_2011_06_08_Brady21
Brady;BIRTHDAY;25;;25;;N;7389;7408;ASL_2011_06_08_Brady21
Brady;BIRTHDAY;25;;25;;N;7856;7871;ASL_2011_06_08_Brady21
Liz;BITE;C;B;5-C;B;N;1885;1915;ASL_2008_01_1143
Tyler;BITE;crvd-5;B-L;5-C;B-L;N;3991;4015;ASL_2008_05_12a27
Naomi;BITE;C;B;5-C;B;N;4297;4325;ASL_2008_08_0428
Brady;BITE;C;B-L;tight-C;B-L;N;8619;8633;ASL_2011_06_08_Brady21
Brady;BITE;C;bent-B-L;tight-C;bent-B-L;N;2690;2716;ASL_2011_06_08_Brady19
Liz;BLACK;bent-1;;bent-1;;N;485;500;ASL_2008_01_1144
Tyler;BLACK;bent-1;;bent-1;;N;206;235;ASL_2008_05_12a28
Naomi;BLACK;bent-1;;bent-1;;N;320;342;ASL_2008_08_0429
Brady;BLACK;bent-1;;bent-1;;N;9377;9387;ASL_2011_06_08_Brady21
Lana;BLACK;1;;1;;N;650;673;ASL_2006_09_2661
Liz;BLANKET;bent-B-L;bent-B-L;bent-B-L;bent-B-L;N;755;790;ASL_2008_01_1145
Liz;BLANKET;bent-B;bent-B;bent-B;bent-B;N;1000;1050;ASL_2008_01_1145
Naomi;BLANKET;bent-B-xd;bent-B-xd;bent-B-xd;bent-B-xd;N;1318;1345;ASL_2008_08_0429
Tyler;BLANKET;B;B;B;B;N;965;1005;ASL_2008_05_12a28
Tyler;BLANKET;B;B;B;B;N;1270;1305;ASL_2008_05_12a28
Brady;BLANKET;B;B;B;B;N;10927;10950;ASL_2011_06_08_Brady21
Naomi;BLANKET;flat-O;flat-O;flat-O;flat-O;N;1775;1812;ASL_2008_08_0429
Brady;BLANKET;A;A;A;A;N;11809;11847;ASL_2011_06_08_Brady21
Brady;BLANKET;crvd-B;crvd-B;A;A;N;12513;12535;ASL_2011_06_08_Brady21
Liz;BLESS;A;A;5;5;N;1455;1485;ASL_2008_01_1145
Tyler;BLESS;A;A;5;5;N;1820;1842;ASL_2008_05_12a28
Naomi;BLESS;A;A;5;5;N;2305;2330;ASL_2008_08_0429
Brady;BLESS;A;A;5;5;N;13969;13987;ASL_2011_06_08_Brady21
Liz;BLIND;crvd-V;;crvd-V;;N;243;280;ASL_2008_01_1146
Tyler;BLIND;crvd-V;;crvd-V;;N;2090;2117;ASL_2008_05_12a28
Naomi;BLIND;crvd-V;;crvd-V;;N;2624;2645;ASL_2008_08_0429
Brady;BLIND;crvd-V;;crvd-V;;N;14191;14211;ASL_2011_06_08_Brady21
Brady;BLIND;crvd-V;;crvd-V;;N;14619;14625;ASL_2011_06_08_Brady21
Liz;(cheek)BLIND;crvd-V;;crvd-V;;N;456;495;ASL_2008_01_1146
Naomi;(cheek)BLIND;crvd-V;;crvd-V;;N;2895;2917;ASL_2008_08_0429
Liz;BLINDS;flat-O;flat-O;5;5;N;880;915;ASL_2008_01_1146
Tyler;BLINDS;B;B;4;4;N;2800;2832;ASL_2008_05_12a28
Naomi;BLINDS;flat-O;flat-O;4;4;N;280;303;ASL_2008_08_0430
Brady;BLINDS;flat-O;flat-O;4;4;N;15945;15978;ASL_2011_06_08_Brady21
Liz;(B)BLINDS;crvd-flat-B;crvd-flat-B;crvd-flat-B;crvd-flat-B;N;675;725;ASL_2008_01_1146
Liz;BLINK/WINK;L;;L;;N;1085;1120;ASL_2008_01_1146
Liz;BLINK/WINK;L;;L;;N;5368;5397;ASL_2008_03_2842
Tyler;BLINK/WINK;L;;L;;N;576;595;ASL_2008_05_12a29
Naomi;BLINK/WINK;L;;L;;N;660;690;ASL_2008_08_0430
Brady;BLINK/WINK;L;;L;;N;16290;16313;ASL_2011_06_08_Brady21
Brady;BLINK/WINK;L;;L;;N;756;778;ASL_2011_07_22_Brady31
Liz;BLOND;Y;;Y;;N;630;655;ASL_2008_01_1147
Tyler;BLOND;Y;;Y;;N;1442;1472;ASL_2008_05_12a29
Naomi;BLOND;Y;;Y;;N;1910;1930;ASL_2008_08_0430
Brady;BLOND;Y;;Y;;N;17487;17497;ASL_2011_06_08_Brady21
Liz;HAIR_2+BLOND;I-L-Y;;Y;;N;805;832;ASL_2008_01_1147
Brady;HAIR_2+BLOND;L;;Y;;N;18004;18020;ASL_2011_06_08_Brady21
Brady;HAIR_2+BLOND;L;;Y;;N;4462;4481;ASL_2011_07_22_Brady38
Brady;HAIR_2+BLOND;L;;Y;;N;18;36;ASL_2011_07_22_Brady39
Tyler;BLOOD;5;B-L;5;B-L;N;2005;2036;ASL_2008_05_12a29
Brady;BLOOD;4;4;5;4;N;18539;18556;ASL_2011_06_08_Brady21
Brady;BLOOD;5;5;5;5;N;18646;18666;ASL_2011_06_08_Brady21
Brady;BLOOD;5;5;5;5;N;1021;1033;ASL_2011_06_14_Brady3
Liz;BLOSSOM;flat-O;flat-O;5;5;N;1250;1275;ASL_2008_01_1147
Tyler;BLOSSOM;flat-O;flat-O;crvd-5;crvd-5;N;2240;2275;ASL_2008_05_12a29
Naomi;BLOSSOM;O;O;crvd-sprd-B;crvd-sprd-B;N;2850;2878;ASL_2008_08_0430
Brady;BLOSSOM;flat-O;flat-O;5;5;N;114;137;ASL_2011_06_08_Brady22
Liz;BLOW-NOSE;L-X;;L-X;;N;295;325;ASL_2008_01_1148
Tyler;BLOW-NOSE;L-X;;L-X;;N;2793;2820;ASL_2008_05_12a29
Naomi;BLOW-NOSE;L-X;;L-X;;N;4603;4622;ASL_2008_08_0430
Liz;BLOW-NOSE;B-L;B-L;B-L;B-L;N;470;486;ASL_2008_01_1148
Liz;HEAD-COLD;L-X;;A;;N;1815;1850;ASL_2008_01_1182
Liz;HEAD-COLD;L-X;;A;;N;2077;2115;ASL_2008_02_0116
Naomi;HEAD-COLD;L-X;;X-over-thumb;;N;2445;2480;ASL_2008_08_0451
Naomi;HEAD-COLD;L-X;;X-over-thumb;;N;6407;6436;ASL_2008_08_1313
Brady;HEAD-COLD;L-X;;A;;N;4584;4611;ASL_2011_06_14_Brady31
Brady;HEAD-COLD;L-X;;cocked-S;;N;4849;4875;ASL_2011_06_14_Brady31
Brady;HEAD-COLD;cocked-S;;A;;N;1093;1148;ASL_2011_07_22_Brady44
Brady;HEAD-COLD;G/Q;;baby-O;;N;13306;13332;ASL_2011_06_08_Brady28
Liz;BLOW-UP;B-L;S;B-L;S;N;665;715;ASL_2008_01_1148
Tyler;BLOW-UP;5;S;5;S;N;695;746;ASL_2008_05_12a30
Naomi;BLOW-UP;5;S;5;S;N;870;905;ASL_2008_08_0431
Liz;BLUE;B-xd;;B-xd;;N;850;875;ASL_2008_01_1148
Tyler;BLUE;B-xd;;B-xd;;N;1207;1240;ASL_2008_05_12a30
Naomi;BLUE;B-xd;;B-xd;;N;1332;1347;ASL_2008_08_0431
Brady;BLUE;B;;B;;N;2610;2639;ASL_2011_06_08_Brady22
Brady;BLUE;B;;B;;N;3420;3451;ASL_2011_06_08_Brady22
Brady;BLUE;B;;B;;N;1560;1586;ASL_2011_07_19_Brady3
Lana;BLUE;B;;B;;N;1154;1185;ASL_2006_10_104
Dana;BLUE;B-xd;;B-xd;;N;1066;1120;ASL_2007_05_248
Liz;BOAT;crvd-B;crvd-B;crvd-B;crvd-B;N;255;300;ASL_2008_01_1149
Tyler;BOAT;crvd-B;crvd-B;crvd-B;crvd-B;N;1950;1995;ASL_2008_05_12a30
Brady;BOAT;crvd-B;crvd-B;crvd-B;crvd-B;N;6274;6300;ASL_2011_06_08_Brady22
Naomi;BOAT;B-L;B-L;B-L;B-L;N;2312;2337;ASL_2008_08_0431
Liz;GO-BY-BOAT;crvd-B;crvd-B;crvd-B;crvd-B;N;2071;2140;ASL_2008_02_017
Tyler;GO-BY-BOAT;crvd-B;crvd-B;crvd-B;crvd-B;N;1775;1816;ASL_2008_05_29a38
Brady;GO-BY-BOAT;crvd-B;crvd-B;crvd-B;crvd-B;N;475;504;ASL_2011_06_14_Brady27
Brady;GO-BY-BOAT;crvd-B;crvd-B;crvd-B;crvd-B;N;504;534;ASL_2011_07_22_Brady44
Naomi;GO-BY-BOAT;B-L;B-L;B-L;B-L;N;2890;2915;ASL_2008_08_136
Liz;BODY;B-L;B-L;B-L;B-L;N;460;505;ASL_2008_01_1149
Tyler;BODY;B-L;B-L;B-L;B-L;N;2170;2195;ASL_2008_05_12a30
Naomi;BODY;B-L;B-L;B-L;B-L;N;2850;2875;ASL_2008_08_0431
Brady;BODY;bent-B-L;bent-B-L;bent-B-L;bent-B-L;N;6455;6478;ASL_2011_06_08_Brady22
Liz;PHYSICAL;P/K;P/K;P/K;P/K;N;3320;3360;ASL_2008_02_1537
Brady;PHYSICAL;P/K;P/K;P/K;P/K;N;3181;3198;ASL_2011_07_19_Brady31
Liz;BOIL;crvd-5;crvd-5;crvd-5;crvd-5;N;645;710;ASL_2008_01_1149
Tyler;BOIL;5;5;5;5;N;2375;2415;ASL_2008_05_12a30
Naomi;BOIL;crvd-5;crvd-5;crvd-5;crvd-5;N;3150;3197;ASL_2008_08_0431
Brady;BOIL;5;5;5;5;N;6671;6718;ASL_2011_06_08_Brady22
Liz;SIMMER;crvd-5;Rlxd;crvd-5;Rlxd;N;885;951;ASL_2008_01_1149
Tyler;SIMMER;crvd-5;Rlxd;crvd-5;Rlxd;N;2637;2700;ASL_2008_05_12a30
Naomi;SIMMER;crvd-5;Rlxd;crvd-5;Rlxd;N;3415;3482;ASL_2008_08_0431
Brady;SIMMER;crvd-5;Rlxd;crvd-5;Rlxd;N;7813;7875;ASL_2011_06_08_Brady22
Liz;ns-nat-BOLIVIA;O/2-Horns;;O/2-Horns;;N;1136;1180;ASL_2008_01_1149
Brady;ns-nat-BOLIVIA;O/2-Horns;;O/2-Horns;;N;11493;11513;ASL_2011_06_08_Brady22
Liz;BOMB;S;S;5;5;N;1356;1391;ASL_2008_01_1149
Tyler;BOMB;S;S;5;5;N;290;307;ASL_2008_05_12a31
Naomi;BOMB;S;S;crvd-5;crvd-5;N;837;855;ASL_2008_08_0432
Brady;BOMB;S;S;5;5;N;11991;12007;ASL_2011_06_08_Brady22
Liz;(S)BOMB;S;S;S;S;N;261;290;ASL_2008_01_1150
Naomi;(S)BOMB;S;S;S;S;N;1148;1177;ASL_2008_08_0432
Brady;(S)BOMB;S;S;S;S;N;12576;12607;ASL_2011_06_08_Brady22
Liz;ns-nat-BOMBAY;F/9;F/9;F/9;F/9;N;461;510;ASL_2008_01_1150
Brady;ns-nat-BOMBAY;F/9;F/9;F/9;F/9;N;12814;12842;ASL_2011_06_08_Brady22
Liz;BORE;1;;1;;N;1435;1445;ASL_2008_01_1150
Tyler;BORE;1;;1;;N;1977;2005;ASL_2008_05_12a31
Naomi;BORE;1;;1;;N;2695;2725;ASL_2008_08_0432
Brady;BORE;1;;1;;N;18830;18847;ASL_2011_06_08_Brady22
Lana;BORE;1;;1;;N;1411;1425;ASL_2006_10_104
Dana;BORE;1;;1;;N;1342;1376;ASL_2007_05_248
Liz;BORN;B;B-L;B;B-L;N;1666;1690;ASL_2008_01_1150
Brady;BORN;B;B-L;B;B-L;N;19012;19029;ASL_2011_06_08_Brady22
Brady;BORN;B;flat-B;B;flat-B;N;5800;5813;ASL_2011_06_14_Brady12
Lana;BORN;B-xd;flat-B;B-xd;flat-B;N;692;731;ASL_2006_01_2022
Naomi;BORN;S;B-L;S;B-L;N;2911;2935;ASL_2008_08_0432
Tyler;BIRTH;B;B-L;B;B-L;N;2205;2222;ASL_2008_05_12a31
Liz;BORROW;P/K;P/K;P/K;P/K;N;2170;2205;ASL_2008_01_1150
Tyler;BORROW;P/K;P/K;P/K;P/K;N;3232;3265;ASL_2008_05_12a31
Naomi;BORROW;P/K;P/K;P/K;P/K;N;3865;3885;ASL_2008_08_0432
Brady;BORROW;P/K;P/K;P/K;P/K;N;20152;20166;ASL_2011_06_08_Brady22
Lana;BORROW;P/K;P/K;P/K;P/K;N;900;916;ASL_2006_10_1016
Liz;LEND;P/K;P/K;P/K;P/K;N;1171;1207;ASL_2008_02_0146
Liz;LEND;P/K;P/K;P/K;P/K;N;2470;2528;ASL_2010_08_10_Liz_additional_lexicon_signs5
Tyler;LEND;P/K;P/K;P/K;P/K;N;1380;1405;ASL_2008_05_29b19
Naomi;LEND;P/K;P/K;P/K;P/K;N;910;940;ASL_2008_08_13_session22
Brady;LEND;P/K;P/K;P/K;P/K;N;2295;2325;ASL_2011_06_14_Brady48
Brady;LEND;P/K;P/K;P/K;P/K;N;2596;2620;ASL_2011_06_14_Brady48
Dana;MOOCH;tight-C/2;tight-C/2;flat-O/2;flat-O/2;N;834;859;ASL_2007_05_2419
Liz;BOSS;5-C;;5-C;;N;640;680;ASL_2008_01_1151
Liz;BOSS;5-C;;5-C;;N;1460;1490;ASL_2008_01_1164
Tyler;BOSS;5-C;;5-C;;N;3646;3705;ASL_2008_05_12a31
Tyler;BOSS;5-C;;5-C;;N;1390;1425;ASL_2008_05_12a40
Naomi;BOSS;5-C;;5-C;;N;4422;4442;ASL_2008_08_0432
Naomi;BOSS;5-C;;5-C;;N;2800;2831;ASL_2008_08_0441
Brady;BOSS;5-C;;5-C;;N;22153;22177;ASL_2011_06_08_Brady22
Brady;BOSS;5-C;;5-C;;N;11816;11842;ASL_2011_06_08_Brady25
Lana;BOSS;5-C;;5-C;;N;1790;1809;ASL_2006_10_104
Dana;BOSS;5-C;;5-C;;N;1755;1806;ASL_2007_05_248
Liz;COACH;C;;C;;N;1606;1645;ASL_2008_01_1181
Tyler;COACH;C;;C;;N;1985;2030;ASL_2008_05_12a48
Naomi;COACH;C;;C;;N;2177;2200;ASL_2008_08_0450
Brady;COACH;C;;C;;N;9501;9527;ASL_2011_06_08_Brady28
Liz;ns-BOSTON;B-xd;;B-xd;;N;845;891;ASL_2008_01_1151
Liz;ns-BOSTON;B-xd;;B-xd;;N;1250;1285;ASL_2008_01_1151
Tyler;ns-BOSTON;B-xd;;B-xd;;N;222;276;ASL_2008_05_12a32
Naomi;ns-BOSTON;B-xd;;B-xd;;N;443;468;ASL_2008_08_0433
Brady;ns-BOSTON;B-xd;;B-xd;;N;21220;21250;ASL_2011_06_08_Brady22
Brady;ns-BOSTON;B-xd;;B-xd;;N;23800;23829;ASL_2011_06_08_Brady22
Brady;ns-BOSTON;B;;B;;N;539;592;ASL_2011_07_22_Brady39
Lana;ns-BOSTON;B;;B;;N;2036;2082;ASL_2006_10_104
Dana;ns-BOSTON;B-xd;;B-xd;;N;2015;2068;ASL_2007_05_248
Liz;BOTH;V/2;crvd-B;bent-U;flat-O;N;1045;1075;ASL_2008_01_1151
Tyler;BOTH;V/2;crvd-B;bent-U;S;N;495;512;ASL_2008_05_12a32
Naomi;BOTH;V/2;crvd-B;bent-U;flat-O;N;658;675;ASL_2008_08_0433
Brady;BOTH;V/2;crvd-B;bent-V;A;N;22912;22924;ASL_2011_06_08_Brady22
Liz;BOTTLE;crvd-B;B-L;crvd-B;B-L;N;1480;1505;ASL_2008_01_1151
Liz;BOTTLE;C;B-L;C;B-L;N;5085;5117;ASL_2010_08_10_Liz_additional_lexicon_signs1
Tyler;BOTTLE;C;B-L;C;B-L;N;1022;1075;ASL_2008_05_12a32
Naomi;BOTTLE;C;B-L;C;B-L;N;1722;1742;ASL_2008_08_0433
Liz;BOTTLE;C;B-L;C;B-L;N;5245;5300;ASL_2010_08_10_Liz_additional_lexicon_signs1
Brady;BOTTLE;C;B-L;C;B-L;N;11073;11112;ASL_2011_06_08_Brady25
Brady;WINE-BOTTLE;5;B-L;S;B-L;N;24183;24201;ASL_2011_06_08_Brady22
Brady;WINE-BOTTLE;crvd-B;B-L;S;B-L;N;2573;2583;ASL_2011_06_08_Brady25
Liz;DRIBBLE;B-L;;B-L;;N;275;320;ASL_2008_01_1152
Tyler;DRIBBLE;5;;5;;N;1270;1310;ASL_2008_05_12a32
Naomi;DRIBBLE;B-L;;B-L;;N;2080;2145;ASL_2008_08_0433
Tyler;BOWLING;crvd-5;;crvd-5;;N;1457;1490;ASL_2008_05_12a32
Naomi;BOWLING;crvd-5;;crvd-5;;N;2355;2375;ASL_2008_08_0433
Brady;BOWLING;crvd-5;;crvd-5;;N;25186;25208;ASL_2011_06_08_Brady22
Lana;BOWLING;crvd-5;;crvd-5;;N;2434;2466;ASL_2006_10_104
Liz;BOWLING;crvd-3;;crvd-3;;N;530;560;ASL_2008_01_1152
Dana;BOWLING;S;;3;;N;2442;2513;ASL_2007_05_248
Liz;BOWTIE;flat-G;flat-G;flat-G;flat-G;N;825;865;ASL_2008_01_1152
Liz;(U)BOWTIE;cocked-U;cocked-U;U/H;U/H;N;1010;1045;ASL_2008_01_1152
Liz;(U)BOWTIE;cocked-U;cocked-U;U/H;U/H;N;2055;2090;ASL_2008_02_2914
Liz;(U)BOWTIE;cocked-U;cocked-U;U/H;U/H;N;2005;2041;ASL_2008_03_2825
Tyler;(U)BOWTIE;cocked-U;cocked-U;U/H;U/H;N;1780;1821;ASL_2008_05_12a32
Naomi;(U)BOWTIE;cocked-U;cocked-U;U/H;U/H;N;2737;2760;ASL_2008_08_0433
Brady;(U)BOWTIE;S;S;U/H;U/H;N;26548;26564;ASL_2011_06_08_Brady22
Brady;(U)BOWTIE;S;S;U/H;U/H;N;2995;3011;ASL_2011_07_19_Brady59
Brady;(U)BOWTIE;S;S;U/H;U/H;N;3571;3584;ASL_2011_07_19_Brady59
Brady;(U)BOWTIE;cocked-U;cocked-U;U/H;U/H;N;2966;2993;ASL_2011_07_22_Brady13
Brady;(U)BOWTIE;cocked-U;cocked-U;U/H;U/H;N;1210;1234;ASL_2011_07_22_Brady56
Liz;BOY;tight-C;;flat-O;;N;325;350;ASL_2008_01_1153
Liz;BOY;crvd-sprd-B;;flat-O;;N;1012;1050;ASL_2008_02_0157
Tyler;BOY;B-L;;flat-O;;N;272;315;ASL_2008_05_12a33
Naomi;BOY;B-L;;flat-O;;N;240;267;ASL_2008_08_0434
Naomi;BOY;B-L;;flat-O;;N;790;806;ASL_2008_08_13_session212
Brady;BOY;tight-C;;flat-O;;N;28392;28408;ASL_2011_06_08_Brady22
Lana;BOY;tight-C;;flat-O;;N;757;786;ASL_2006_09_2661
Liz;BRA;crvd-L;crvd-L;crvd-L;crvd-L;N;760;810;ASL_2008_01_1153
Tyler;BRA;L;L;L;L;N;700;725;ASL_2008_05_12a33
Naomi;BRA;L-X;L-X;L-X;L-X;N;735;757;ASL_2008_08_0434
Brady;BRA;L;L;flat-G;flat-G;N;29052;29072;ASL_2011_06_08_Brady22
Liz;BRACELET;open-8;S;open-8;S;N;985;1020;ASL_2008_01_1153
Naomi;BRACELET;open-8;Rlxd;open-8;Rlxd;N;1015;1043;ASL_2008_08_0434
Tyler;BRACELET;open-F;Rlxd;open-F;Rlxd;Y;895;950;ASL_2008_05_12a33
Liz;WATCH;F/9;S;F/9;S;N;3271;3340;ASL_2008_03_2836
Brady;WATCH;F/9;Rlxd;F/9;Rlxd;N;141;180;ASL_2011_07_22_Brady25
Brady;WATCH;F/9;S;F/9;S;N;2217;2259;ASL_2011_07_22_Brady57
Liz;BRAG;10;10;10;10;N;1241;1305;ASL_2008_01_1153
Tyler;BRAG;10;10;10;10;N;1106;1165;ASL_2008_05_12a33
Naomi;BRAG;10;10;10;10;N;1275;1327;ASL_2008_08_0434
Brady;BRAG;10;10;10;10;N;29763;29807;ASL_2011_06_08_Brady22
Tyler;BRAKE;S;;S;;N;1545;1580;ASL_2008_05_12a33
Brady;BRAKE;A;;A;;N;1688;1711;ASL_2011_06_08_Brady23
Liz;BRAKE;5-C-L;;5-C-L;;N;250;280;ASL_2008_01_1154
Naomi;BRAKE;5-C-L;;5-C-L;;N;2255;2273;ASL_2008_08_0434
Brady;BRAKE;5-C-L;;5-C-L;;N;605;626;ASL_2011_06_08_Brady23
Liz;BRAWL;flat-O;flat-O;B-L;B-L;N;935;980;ASL_2008_01_1154
Tyler;BRAWL;flat-O;flat-O;5;5;N;2905;2941;ASL_2008_05_12a33
Naomi;BRAWL;O;O;5;5;N;3222;3257;ASL_2008_08_0434
Brady;BRAWL;flat-O;flat-O;5;5;N;5452;5479;ASL_2011_06_08_Brady23
Liz;ns-nat-BRAZIL;B;;B;;N;695;720;ASL_2008_01_1139
Liz;ns-nat-BRAZIL;B-xd;;B-xd;;N;1150;1175;ASL_2008_01_1154
Tyler;ns-nat-BRAZIL;B-xd;;B-xd;;N;255;295;ASL_2008_05_12a34
Naomi;ns-nat-BRAZIL;B-xd;;B-xd;;N;305;332;ASL_2008_08_0435
Brady;ns-nat-BRAZIL;B;;B;;N;434;460;ASL_2011_06_08_Brady19
Brady;ns-nat-BRAZIL;B-xd;;B-xd;;N;6151;6179;ASL_2011_06_08_Brady23
Liz;BREAD;bent-B-L;B-L;bent-B-L;B-L;N;1370;1406;ASL_2008_01_1154
Tyler;BREAD;bent-B-L;B;bent-B-L;B;N;445;490;ASL_2008_05_12a34
Naomi;BREAD;bent-B-L;B-L;bent-B-L;B-L;N;527;563;ASL_2008_08_0435
Brady;BREAD;bent-B-L;crvd-B;bent-B-L;crvd-B;N;7373;7404;ASL_2011_06_08_Brady23
Lana;BREAD;bent-B-L;bent-B-L;bent-B-L;bent-B-L;N;2603;2636;ASL_2006_10_103
Dana;BREAD;bent-B-L;crvd-B;bent-B-L;crvd-B;N;2724;2792;ASL_2007_05_247
Liz;RECORD/BREAK-RECORD;5;Rlxd;S;Rlxd;Y;275;305;ASL_2008_01_1155
Tyler;RECORD/BREAK-RECORD;5;Rlxd;S;Rlxd;Y;650;677;ASL_2008_05_12a34
Naomi;RECORD/BREAK-RECORD;crvd-5;Rlxd;S;Rlxd;Y;948;973;ASL_2008_08_0435
Brady;RECORD/BREAK-RECORD;5;Rlxd;S;Rlxd;Y;8625;8654;ASL_2011_06_08_Brady23
Liz;BREAK;S;S;S;S;N;455;485;ASL_2008_01_1155
Tyler;BREAK;S;S;S;S;N;825;842;ASL_2008_05_12a34
Naomi;BREAK;S;S;S;S;N;1207;1228;ASL_2008_08_0435
Brady;BREAK;S;S;S;S;N;7558;7574;ASL_2011_06_08_Brady23
Liz;BREAK-DOWN;crvd-5;crvd-5;crvd-5;crvd-5;N;941;976;ASL_2008_01_1155
Liz;BREAK-DOWN;5-C-L;5-C-L;crvd-5;crvd-5;N;320;355;ASL_2008_01_1183
Naomi;BREAK-DOWN;crvd-5;crvd-5;bent-B-L;bent-B-L;N;1695;1715;ASL_2008_08_0435
Naomi;BREAK-DOWN;crvd-5;crvd-5;bent-B-L;bent-B-L;N;2925;2947;ASL_2008_08_0451
Brady;BREAK-DOWN;crvd-5;crvd-5;crvd-5;crvd-5;N;8866;8877;ASL_2011_06_08_Brady23
Brady;BREAK-DOWN;crvd-5;crvd-5;bent-B-L;bent-B-L;N;13800;13830;ASL_2011_06_08_Brady28
Tyler;BREAK-DOWN-BUILDING;5;5;5;5;N;1237;1277;ASL_2008_05_12a34
Liz;DECONSTRUCT;S;S;S;S;N;1150;1200;ASL_2008_01_1155
Brady;DECONSTRUCT;S;S;S;S;N;9147;9191;ASL_2011_06_08_Brady23
Naomi;BREASTS;bent-B-L;;bent-B-L;;N;3090;3118;ASL_2008_08_0435
Brady;BREASTS;bent-B-L;;bent-B-L;;N;9654;9682;ASL_2011_06_08_Brady23
Liz;BREATHE;5;5;5;5;N;505;550;ASL_2008_01_1156
Tyler;BREATHE;5;5;5;5;N;2566;2602;ASL_2008_05_12a34
Naomi;BREATHE;5;5;5;5;N;3335;3395;ASL_2008_08_0435
Brady;BREATHE;5;5;5;5;N;9980;10018;ASL_2011_06_08_Brady23
Liz;BRIDGE;V/2;B-L;V/2;B-L;Y;765;816;ASL_2008_01_1156
Tyler;BRIDGE;V/2;B-L;V/2;B-L;Y;320;365;ASL_2008_05_12a35
Naomi;BRIDGE;V/2;B-L;V/2;B-L;Y;330;365;ASL_2008_08_0436
Brady;BRIDGE;V/2;A;V/2;A;Y;10234;10267;ASL_2011_06_08_Brady23
Dana;BRIDGE;V/2;B-L;V/2;B-L;Y;201.91;258.49;ASL_2007_05_248
Lana;BRIDGE;crvd-V;S;crvd-V;S;Y;346;369;ASL_2006_10_104
Tyler;BRING-1p;B-L;B-L;B-L;B-L;N;515;555;ASL_2008_05_12a41
Liz;BRING-1p;B-L;B-L;B-L;B-L;N;955;990;ASL_2008_01_1156
Naomi;BRING-1p;B-L;B-L;B-L;B-L;N;515;541;ASL_2008_08_0436
Brady;BRING-1p;crvd-5;crvd-5;crvd-5;crvd-5;N;10490;10507;ASL_2011_06_08_Brady23
Liz;CARRY;crvd-B;crvd-B;crvd-B;crvd-B;N;285;340;ASL_2008_01_1166
Tyler;CARRY;B-L;B-L;B-L;B-L;N;565;600;ASL_2008_05_12a35
Naomi;CARRY;crvd-B;crvd-B;crvd-B;crvd-B;N;696;725;ASL_2008_08_0442
Brady;CARRY;crvd-B;crvd-B;crvd-B;crvd-B;N;19820;19855;ASL_2011_06_08_Brady25
Brady;CARRY;B-L;B-L;B-L;B-L;N;2097;2144;ASL_2011_07_22_Brady39
Liz;BROKE;bent-B-L;;bent-B-L;;N;1185;1215;ASL_2008_01_1156
Tyler;BROKE;bent-B-L;;bent-B-L;;N;755;780;ASL_2008_05_12a35
Naomi;BROKE;bent-B-L;;bent-B-L;;N;727;755;ASL_2008_08_0436
Brady;BROKE;bent-B-L;;bent-B-L;;N;10703;10728;ASL_2011_06_08_Brady23
Liz;BROOM;B-L;B-L;B-L;B-L;N;261;317;ASL_2008_01_1157
Tyler;BROOM;B-L;B-L;bent-B-L;B-L;N;1251;1295;ASL_2008_05_12a35
Liz;BROOM;B-L;B-L;B-L;B-L;N;616;670;ASL_2008_03_282
Naomi;BROOM;bent-B-L;B-L;bent-B-L;B-L;N;1255;1296;ASL_2008_08_0436
Brady;BROOM;B-L;flat-B;B-L;flat-B;N;11170;11207;ASL_2011_06_08_Brady23
Brady;BROOM;B-L;B-L;B-L;B-L;N;11412;11444;ASL_2011_06_08_Brady23
Brady;BROOM;B-L;B-L;B-L;B-L;N;4510;4554;ASL_2011_07_19_Brady106
